ParentFile,Filename,shimmerLocaldB_sma3nz_stddevNorm,loudness_sma3_percentile20.0,F3amplitudeLogRelF0_sma3nz_amean,loudness_sma3_percentile50.0,loudness_sma3_amean,F2amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,F2amplitudeLogRelF0_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F1amplitudeLogRelF0_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2,alphaRatioV_sma3nz_stddevNorm,StddevUnvoicedSegmentLength,loudness_sma3_stddevNorm,loudness_sma3_percentile80.0,shimmerLocaldB_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,HNRdBACF_sma3nz_amean,slopeV500.1500_sma3nz_amean,loudness_sma3_meanRisingSlope,alphaRatioV_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F1amplitudeLogRelF0_sma3nz_stddevNorm
gemaps_part_pain.csv,96c760bd2c00a7c3a513ed0c6c5689ff_Pain_12_female_210407_997704.wav_features_GeMAPSv01a.csv,0.9028459,0.1717815,-87.59834,2.205589,1.930324,-84.93708,-1.006393,0.1213333,-1.064512,49.24347,-90.06597,1.954361,-12.53569,0.106199,0.752819,3.423932,1.147633,0.1692689,48.63136,6.645357,0.01504669,19.79704,-0.6123826,47.28911,-1.052324
gemaps_part_pain.csv,11bacc8a63448ca9f4848ffa4b31340f_Pain_124_male_181215_394433.wav_features_GeMAPSv01a.csv,0.5673506,0.7873412,-17.84565,1.49164,1.749753,-23.24746,-3.480313,0.06285714,-2.617009,56.4827,-22.86626,9.926491,2.276006,0.02118914,0.5705031,2.849505,1.461141,0.1171202,49.15162,3.58746,0.006314121,9.676263,3.582979,46.55621,-3.597718
gemaps_part_pain.csv,e83d2ca9649c9492206b0d9b7c9934ca_Pain_53_female_190218_462421.wav_features_GeMAPSv01a.csv,0.6000555,0.1484661,-106.2442,0.9318302,1.129511,-103.3274,-0.8984466,0.2236364,-0.9573764,53.61148,-123.8717,4.896992,0.7739796,0.1651596,0.8399621,2.038476,1.16737,0.06248128,50.42375,5.805237,0.02116324,24.81264,10.46804,48.71449,-0.7658089
gemaps_part_pain.csv,NO-EMAIL_Pain_NO-AGE_NO-GENDER_180608_95498.wav_features_GeMAPSv01a.csv,0.7964131,0.5682375,-70.28613,1.375292,1.243922,-58.43586,-1.290481,0.2257143,-1.692507,53.35605,-183.3776,1.784065,0.336721,0.1685957,0.4802305,1.853851,0.5472392,0.0822708,52.28264,13.12951,0.001311427,3.396751,13.33298,51.57198,-0.2751281
gemaps_part_pain.csv,fffb0da0a0a2daafae7457dbb07d841d_Pain_9_male_180601_69917.wav_features_GeMAPSv01a.csv,1.053111,0.1963383,-134.7694,0.3162659,0.8065008,-130.6847,-0.6463263,0.3411111,-0.7087313,49.15372,-136.9875,4.285912,4.024774,0.246281,0.953013,1.460879,1.081955,0.05355528,47.40075,9.734797,0.02194063,9.63773,2.205029,44.86781,-0.6722305
gemaps_part_pain.csv,d69c7a0eb995e9dc82f45b34113b1e77_Pain_120_male_180706_206655.wav_features_GeMAPSv01a.csv,0.7374135,0.2405531,-49.6748,1.126761,1.056739,-44.98953,-1.721207,0.1883333,-1.983559,59.23526,-64.77313,12.01651,2.549931,0.1384939,0.5829043,1.607221,1.097744,0.1128179,49.08342,9.716157,0.0245837,6.392992,4.34886,47.21875,-1.558639
gemaps_part_pain.csv,9c9c391c93d5ebeb645dad638f522a52_Pain_74_male_180922_331683.wav_features_GeMAPSv01a.csv,0,0.5725667,-201,0.9467158,1.189999,-201,0,4.93,0,0,-201,0,0,0,0.5513923,1.949283,0,0,0,0,0,4.954792,0,0,0
gemaps_part_pain.csv,59fda62d7f69655e82d0a47b42015a85_Pain_380_male_180607_90809.wav_features_GeMAPSv01a.csv,0.6190434,0.1754388,-87.05151,1.088787,1.128609,-85.6454,-1.114151,0.6666666,-1.148048,50.57851,-85.94176,3.40802,2.110794,0.6239836,0.7792048,2.056018,0.8240548,0.03709884,49.04613,7.843813,0.01686246,3.226276,4.494736,47.17049,-1.189227
gemaps_part_pain.csv,31eef3850d64a29b70bf595f27826f62_Pain_9_male_190125_441271.wav_features_GeMAPSv01a.csv,0.8733276,0.09015751,-103.983,0.7132847,0.8501381,-104.9698,-0.8810032,0.1642857,-0.8668053,47.267,-110.5935,2.261566,-3.871902,0.1743443,0.9327639,1.251115,1.184498,0.09874142,45.92904,7.716297,-0.004572117,7.978824,-2.346737,45.00543,-0.8771362
gemaps_part_pain.csv,NO-EMAIL_Pain_NO-AGE_NO-GENDER_180711_224565.wav_features_GeMAPSv01a.csv,0.953779,0.4535447,-66.72598,1.636441,1.663374,-59.13283,-1.265615,0.1218182,-1.532885,51.35607,-76.37141,3.291256,2.103551,0.08177776,0.6579354,2.983316,0.7762093,0.07807623,49.70421,11.82772,0.0138811,17.67171,5.880758,48.06481,-1.316863
gemaps_part_pain.csv,NO-EMAIL_Pain_NO-AGE_NO-GENDER_180516_19639.wav_features_GeMAPSv01a.csv,0.4860323,0.4883733,-49.00631,1.388569,1.141714,-53.28313,-1.684985,0.13625,-1.515341,50.81288,-60.63982,3.817394,1.167368,0.09974185,0.5466349,1.743258,1.1164,0.05870565,49.28009,4.788382,0.02807924,6.654706,7.24656,46.99549,-1.374777
gemaps_part_pain.csv,9018d93cbc3601875ab0d7e71a6d0112_Pain_NO-AGE_NO-GENDER_180701_178361.wav_features_GeMAPSv01a.csv,0.9578401,0.3642008,-64.72841,1.089078,1.183148,-61.21536,-1.238868,0.1333333,-1.345764,49.72599,-66.2562,10.05252,-1.024719,0.1143095,0.7001224,1.939288,0.9011347,0.1285203,47.20201,9.129848,-0.004190152,13.25319,-6.058059,39.67347,-1.422786
gemaps_part_pain.csv,f6a4968b21530ae6656bfdf14c9b0b30_Pain_19_female_180725_261214.wav_features_GeMAPSv01a.csv,0.5121741,0.1641909,-136.0824,0.3588647,0.6795907,-133.08,-0.6263931,0.2307692,-0.6701919,52.41093,-144.3967,8.061176,2.297609,0.1637287,1.059605,1.107763,1.540096,0.170087,46.65409,2.42231,0.01655965,18.03561,3.716332,44.34976,-0.6002469
gemaps_part_pain.csv,NO-EMAIL_Pain_NO-AGE_NO-GENDER_181211_390701.wav_features_GeMAPSv01a.csv,0.8715968,0.7233555,-48.40697,2.175699,1.8283,-45.58586,-1.513066,0.07333333,-1.642555,49.97482,-43.69538,5.018776,9.380627,0.0306413,0.5218609,2.724699,1.427319,0.08287288,48.13287,6.277093,0.006890393,11.25639,0.69026,44.95604,-1.957043
gemaps_part_pain.csv,c51d98d05bcc8275f5fe732a0e0da7d5_Pain_53_male_190728_561842.wav_features_GeMAPSv01a.csv,0.8224379,0.2152518,-89.0604,1.201402,1.269207,-89.65648,-1.166512,0.3214286,-1.153952,46.89417,-106.149,8.720795,0.3222033,0.3972559,0.7970634,1.928775,2.210047,0.1122514,43.41132,-1.417896,0.01851704,26.2194,16.00103,38.17337,-0.9341993
gemaps_part_pain.csv,c01bc47e3342f6a14d5ef8c0f854634e_Pain_474_female_210309_971496.wav_features_GeMAPSv01a.csv,0.569221,0.4374405,-80.87936,0.9008849,1.220711,-81.49787,-1.0175,0.148,-1.002345,55.73698,-88.50108,9.960327,-0.8996551,0.1784825,0.6569967,2.120304,1.33628,0.1023041,48.75402,5.518378,-0.03347386,7.405861,-10.06322,45.77665,-1.105208
gemaps_part_pain.csv,046b85511417379d2d8e79c9b15c2258_Pain_121_female_211128_1202287.wav_features_GeMAPSv01a.csv,0.9667652,0.1128956,-131.0252,0.1637666,0.411404,-127.5159,-0.6487578,0.576,-0.701997,46.37503,-127.53,2.605572,-1.493412,0.263712,1.002052,0.8523883,0.6280154,0.03902267,44.79578,12.82508,-0.001960505,1.847014,-4.33035,43.76946,-0.7471145
gemaps_part_pain.csv,1e07cf1d1acdad94d8cebeb1cffb7ac1_Pain_178_male_180604_79845.wav_features_GeMAPSv01a.csv,0.591445,0.6062915,-73.00108,1.212011,1.229787,-69.22796,-1.318007,0.172,-1.445579,49.30891,-89.02505,4.271523,0.6993842,0.09836666,0.4645076,1.850766,1.192628,0.1146211,47.96946,6.153436,0.02092067,5.120169,11.4464,45.03739,-1.114181
gemaps_part_pain.csv,741d7c393571f41d082d94c9c7763461_Pain_34_male_181205_386512.wav_features_GeMAPSv01a.csv,0.7144372,0.5487178,-36.35439,0.9123977,1.176684,-38.28502,-2.207026,0.13,-2.06834,49.66355,-59.69283,3.93248,2.925299,0.07596992,0.7555211,2.032822,0.8582987,0.1195583,48.48082,9.437649,0.02175841,5.626924,2.938917,45.73107,-1.624882
gemaps_part_pain.csv,692863dd8919549c6fb678e367ef75ed_Pain_44_female_180823_302440.wav_features_GeMAPSv01a.csv,0.7195831,0.436247,-97.95485,0.8964973,1.262368,-95.43819,-0.9962199,0.28125,-1.047951,50.45997,-105.6371,3.941109,2.475604,0.2862009,0.8012743,2.731069,1.104511,0.08166061,47.91005,9.204955,0.009649074,8.257872,3.93648,46.51886,-0.9509615
gemaps_part_pain.csv,70a8f476097df08da4c72657dae936ff_Pain_145_female_211102_1171107.wav_features_GeMAPSv01a.csv,0.6701488,0.9179459,-52.91618,1.970585,1.719064,-59.27006,-1.741408,0.09999999,-1.486822,53.44618,-104.0179,3.244568,0.4260407,0.09339742,0.4624305,2.470914,1.200439,0.04428912,52.01192,1.948644,0.000448829,31.43455,16.02892,50.20161,-0.9466245
